Individu;Edat;Sexe
1;83;Home
2;76;Dona
3;45;Dona
4;44;Dona
5;50;Home
6;67;Dona
7;44;Home
8;44;Home
9;43;Dona
10;34;Dona
11;63;Home
12;61;Dona
13;36;Dona
14;34;Home
15;62;Home
16;60;Dona
17;37;Home
18;37;Dona
19;67;Home
20;65;Dona
21;41;Dona
22;63;Home
23;72;Home
24;68;Dona
25;46;Home
26;40;Dona
27;57;Home
28;56;Dona
29;50;Home
30;69;Home
31;59;Home
32;53;Home
33;37;Dona
34;83;Home
35;73;Home
36;80;Dona
37;43;Dona
38;42;Home
39;69;Home
40;61;Dona
41;38;Home
42;36;Home
43;68;Home
44;65;Dona
45;41;Dona
46;38;Home
47;78;Home
48;74;Dona
49;40;Dona
50;86;Dona
51;67;Dona
52;46;Home
53;47;Home
54;42;Dona
55;35;Home
56;73;Home
57;72;Dona
58;48;Dona
59;45;Dona
60;60;Dona
61;42;Dona
62;40;Dona
63;38;Dona
64;37;Dona
65;75;Home
66;67;Dona
67;48;Dona
68;40;Home
69;78;Home
70;70;Dona
71;43;Home
72;41;Dona
73;36;Dona
74;50;Dona
75;49;Dona
76;81;Home
77;78;Dona
78;67;Home
79;64;Dona
80;42;Home
81;40;Home
82;72;Home
83;70;Dona
84;47;Dona
85;44;Home
86;34;Dona
87;57;Dona
88;52;Dona
89;68;Dona
90;45;Dona
91;42;Dona
92;40;Dona
93;68;Home
94;43;Home
95;49;Home
96;46;Dona
97;42;Home
98;66;Home
99;64;Dona
100;41;Dona
101;36;Dona
102;74;Home
103;73;Dona
104;45;Dona
105;42;Home
106;41;Dona
107;39;Dona
108;36;Home
109;84;Home
110;77;Dona
111;53;Dona
112;49;Home
113;42;Home
114;60;Home
115;49;Home
116;46;Dona
117;37;Home
118;36;Home
119;69;Home
120;66;Dona
121;44;Home
122;36;Home
123;74;Home
124;71;Dona
125;43;Dona
126;36;Dona
127;76;Dona
128;50;Home
129;49;Dona
130;47;Home
131;44;Home
132;77;Dona
133;50;Home
134;49;Dona
135;48;Home
136;45;Home
137;39;Home
138;68;Dona
139;81;Dona
140;54;Home
141;58;Home
142;53;Dona
143;83;Home
144;76;Dona
145;47;Dona
146;74;Home
147;46;Dona
148;45;Dona
149;38;Dona
150;77;Dona
151;46;Dona
152;43;Dona
153;71;Home
154;64;Dona
155;40;Dona
156;73;Dona
157;49;Home
158;78;Home
159;75;Dona
160;49;Home
161;39;Home
162;80;Dona
163;53;Home
164;48;Dona
165;41;Dona
166;85;Dona
167;52;Dona
168;74;Home
169;71;Dona
170;46;Dona
171;43;Dona
172;37;Home
173;64;Home
174;38;Dona
175;36;Home
176;58;Home
177;53;Dona
178;52;Home
179;72;Dona
180;45;Home
181;58;Home
182;57;Dona
183;73;Dona
184;58;Home
185;55;Dona
186;58;Home
187;53;Dona
188;55;Home
189;57;Dona
190;85;Dona
191;54;Home
192;50;Home
193;77;Home
194;78;Dona
195;49;Home
196;45;Home
197;41;Home
198;60;Home
199;57;Dona
200;77;Home
201;76;Dona
202;48;Dona
203;38;Home
204;78;Home
205;76;Dona
206;54;Dona
207;54;Dona
208;40;Home
209;52;Dona
210;50;Home
211;47;Dona
212;88;Dona
213;51;Home
214;49;Dona
215;42;Dona
216;76;Home
217;71;Dona
218;50;Home
219;49;Home
220;74;Dona
221;52;Home
222;49;Dona
223;51;Home
224;46;Home
225;77;Home
226;80;Dona
